Ticker,Buy_and_Hold_Return,Buy_and_Hold_Sharpe,Buy_and_Hold_Drawdown,Buy_and_Hold_Trades,Dividend_Capture_Return,Dividend_Capture_Sharpe,Dividend_Capture_Drawdown,Dividend_Capture_Trades,Custom_Dividend_Strategy_Return,Custom_Dividend_Strategy_Sharpe,Custom_Dividend_Strategy_Drawdown,Custom_Dividend_Strategy_Trades
AAPW,9.898343514099128,0.41910391625190685,-30.828843222091756,1,14.53659964865106,1.2265712890054157,-11.30310227445986,23,7.519980484207189,1.0156454864052251,-5.573292901992797,23
AMZW,16.036793492004353,4.26335028057144,-10.104308502674627,1,2.660326771026611,1.0128321859494778,-2.1016161952104264,7,1.3323458939209276,0.5759994819389344,-1.054474032126101,7
BCCC,20.435620337707515,6.8205812764436775,-3.21380841740913,1,10.972380843765194,4.424435761864091,-2.4170940354249817,9,5.3701313772277715,3.464918394197307,-1.2272071916364846,9
BLOX,29.69429746337886,11.529652564975247,-7.563711194518145,1,4.1825008258819185,1.0360240561229515,-8.210078122329003,6,0.32674101066589856,-0.1958300628632794,-5.876034884140991,7
BRKW,1.906670991577153,0.4318582698494228,-5.5640646236223175,1,0.46469637884518633,-0.1623518521928572,-4.403421592604541,7,0.25292495611572985,-0.5419143731722147,-2.204993469175181,7
CHPY,55.03201140362548,15.015918892604425,-2.4561599029924395,1,27.678217393585204,7.119456527111465,-3.1106075236246857,17,14.48510653344728,5.749640934343898,-1.5625239960386794,23
COII,31.566920392303444,4.510688807504624,-25.08302951208624,1,50.44550418589786,14.551564997934678,-9.611387766425922,9,24.005881169891374,7.4957014085954725,-5.106286350562953,12
COIW,111.68160113671877,4.467615695344553,-32.316630451892976,1,60.57332037815859,2.5411820754408363,-20.041254523620605,23,29.623710812698366,2.0339313545434137,-10.020627261810295,23
GLDY,6.442720695892334,4.1992232549475625,-2.168916154774383,1,4.193414990341204,2.7823519917067516,-1.8971854375389268,8,2.763392115249652,2.586655638912422,-1.1272470658838998,11
GPTY,31.59679964270017,2.1069347027264382,-20.346464429549776,1,17.348408288024885,1.0957423392029066,-15.254057209882832,27,8.213138941894549,0.7609549755869718,-8.51354873477805,36
HOOW,66.47968098535155,34.16705060558532,-7.544891075044453,1,18.622489023193346,3.425945831506468,-7.624890140831692,7,9.368272317626936,2.5743844173553936,-3.856609265987782,7
IWMY,58.04925380676267,4.973260761875436,-7.904990260465457,1,41.11608586854554,3.108176918203842,-9.111029738289632,41,23.553394386627268,2.8299754450564327,-5.036534442233669,60
LFGY,35.008818161804186,1.6250896421896288,-20.977191415216552,1,66.96430467662056,4.159748963900119,-13.467582504865597,29,28.740176864547795,2.6428205953275468,-8.304857811738863,39
MAGY,22.516669533386224,8.793451563463208,-2.154559224775985,1,1.4965500831604306,0.0831962260913252,-2.7780979902081127,13,1.3052522354126017,-0.000306453877102873,-1.3912834902622588,15
METW,21.87735587277222,5.804376929100675,-4.770144043193962,1,7.420994876861586,2.2658740191150533,-3.056761041804156,7,3.6914665311889694,1.7933090924647732,-1.5402774435288122,7
MMKT,3.6380607086181627,4.576804158148708,-0.05385245871679787,1,0.8514740905761764,-14.626848913994055,-0.04291139053156795,22,0.4504228134154964,-33.964694359390464,-0.02145130707211657,25
MSII,9.445966052505494,0.9873853029324805,-17.53165477090616,1,25.732152905960092,5.201644939929154,-7.211529589326881,9,15.931865405853273,4.718068795183717,-3.6890640455356003,12
MST,-6.633465993804933,-0.3570322436623404,-29.503999168744254,1,7.496606560935959,0.47493780009649916,-18.444668989191513,12,10.357505330734273,1.1562180906355866,-10.654762820949522,19
NFLW,7.2625685328369105,1.4576028226134214,-12.772591327938471,1,0.5325353525390542,-0.07335273766141472,-4.999210635625985,7,0.2861728289489607,-0.2903031638010952,-2.5323675380971618,7
NVDW,100.6879768616638,6.244835177102308,-24.85377976036612,1,53.89569763407893,5.137112235628712,-8.711821897949223,23,24.7218589529113,3.8492429020131644,-4.402375627532965,23
NVII,37.17787255722045,18.148026375785253,-2.861265309131578,1,31.29323630119323,14.542902351717592,-2.892593132323558,9,17.483822087402334,9.653241215616047,-1.7799540056074763,13
NVYY,48.994472976196256,35.560659910031355,-2.935958969044903,1,11.00826038932803,6.307961575404349,-0.3892435902664307,9,5.399819871902456,4.9684285731390405,-0.1946463940931067,9
PLTW,201.3112824365387,12.865824481780376,-24.953645509880147,1,82.50182978112797,5.298667033126302,-15.870783766386051,23,36.93465205015567,3.677279597966723,-8.09922783632268,23
QDTE,99.6620906427307,3.894687732976784,-12.183463483496272,1,90.92942306358344,3.1703991874011357,-13.667149201393755,72,47.75596017883308,2.8702327785799224,-7.4711403140601265,96
QDTY,21.026915442443837,1.2824145665536004,-18.21646079231658,1,17.081162868133482,1.0477965723430127,-14.197003958993015,23,5.098848170898362,0.3396677484376695,-10.235435674097644,26
QQQY,52.40010800939938,4.024934445778835,-9.20930487104391,1,37.5127177106324,2.5625409253482947,-12.090718761324485,44,19.520923857437133,2.155530372319628,-6.470866765499974,58
RDTE,45.583123214508056,2.7603845628936967,-14.14204031062557,1,38.45578262225337,2.2376390103800183,-12.695707002663358,46,21.339353828308163,1.9974434650171844,-6.885202239591298,65
RDTY,22.106847713256816,2.094619590095283,-15.808073570603815,1,7.628142988281361,0.566651707736501,-13.152603413024888,21,2.103670606384367,0.01793748572367216,-9.578793323577877,31
SDTY,14.20759250442507,1.1910474951216912,-15.191894313873286,1,13.191587773651193,1.1611560576007078,-12.62253374399312,25,4.982266986572248,0.44481594408672126,-9.208707306646795,34
TQQY,19.315410937988297,11.452583908527536,-3.7554833043653297,1,-1.9144858970641998,-1.2070966365091442,-4.9754244661285085,9,-2.0568006286621143,-1.7956782894393375,-3.64206036529672,11
TSII,14.821083894042975,1.6396183361655041,-15.504778015136718,1,16.467910756942807,3.0785060256542236,-11.389914487512463,9,9.15911169590764,2.4154854524036877,-6.192880469224422,12
TSLW,55.934685352523815,1.9085409001710019,-25.44185181005861,1,49.807713671005274,2.4092941258150833,-21.10479349758911,23,24.44635182791133,1.9824872166804768,-10.861170090270985,23
TSYY,32.669042125762935,9.248065426205095,-5.970285889980465,1,4.241458084106453,0.7646028640533586,-8.953633807680617,9,2.4456829977035577,0.6150552699330926,-4.499517648781094,12
ULTY,80.45231480867388,10.278129156751595,-13.927209332102064,1,53.94569776725773,6.268454379946152,-14.185673689277817,22,28.455107787734967,5.00378036371561,-8.097852385753642,30
USOY,6.983831824012765,2.0137592293981013,-9.265643857460946,1,11.917145182769783,7.384968241169729,-3.230194927872649,8,6.843955597099294,6.224845493270553,-1.6339712495903083,11
WDTE,36.12177149911497,3.213393314671409,-9.146859851689033,1,28.171443605483937,2.3475876637672246,-10.011066078912872,41,14.82498368896481,1.9350025105758344,-5.498110060626484,53
WEEK,3.557956436828591,5.616544007653807,-0.03884144722919356,1,2.6090706413574027,1.74744009067166,-0.03293757946360456,22,1.351999584289576,-5.295252922401636,-0.016491234119870062,24
XBTY,36.102799112854015,19.196998485249228,-3.0728148725848494,1,0.01696581840513467,-0.3110987136540829,-6.029466912413542,9,0.1337366085052416,-0.5435429144767405,-3.0288703843168454,10
XDTE,71.87502744323729,3.406042414389995,-11.454181769067683,1,59.40965529415892,2.674442059497923,-11.825081581502989,72,32.053756071319484,2.350722721629152,-6.308003932476486,99
YBTC,55.79789907595825,3.2329071121243524,-17.783324834062636,1,56.187275358581566,3.9084810267122876,-11.217136608199585,32,30.35347648233031,3.3559325847326966,-6.409297368122379,48
YETH,37.6574868330078,29.382218034117543,-8.249864440373852,1,27.52081043232728,20.3667381988872,-3.785689217236103,6,15.819308350936879,12.183902800716336,-2.257722221460429,9
YMAG,77.95542143670653,4.3307078492822235,-14.106116519352058,1,68.2425305967406,3.437553605456646,-13.847057242928477,47,36.06565022054282,3.0546135437024406,-7.626585059215111,66
YMAX,100.1522909353485,5.7015622942426045,-12.876919879770643,1,97.85440772946178,4.891326380335994,-13.814107915331972,47,48.4136025484849,3.9619548695138738,-7.684511302099409,66
YSPY,18.104388539794925,10.340932386662125,-4.106324879897456,1,-2.569806442260758,-1.5485239696335298,-5.082329324712038,9,-2.453921808242787,-2.0515206503869257,-3.721456802274967,10
